state,abbr,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022
Alabama,AL,4887681,4903185,5033094,5049196,5076181
Arizona,AZ,7158024,7278717,7187135,7274078,7377566
Arkansas,AR,3009733,3017804,3014546,3026870,3047704
California,CA,39461588,39512223,39521958,39142565,39142414
Colorado,CO,5691287,5758736,5787129,5814036,5850935
Connecticut,CT,3571520,3565287,3579918,3606607,3617925
Delaware,DE,965479,973764,991928,1005062,1020625
District of Columbia,DC,701547,705749,670917,669256,676725
Florida,FL,21244317,21477737,21592035,21831949,22379312
Georgia,GA,10511131,10617423,10732888,10792060,10931805
Idaho,ID,1750536,1787065,1849415,1904848,1944299
Illinois,IL,12723071,12671821,12799088,12700641,12621821
Indiana,IN,6695497,6732219,6790497,6815907,6844545
Iowa,IA,3148618,3155070,3191141,3198613,3202820
Kansas,KS,2911359,2913314,2938172,2938338,2937324
Kentucky,KY,4461153,4467673,4508318,4507583,4519233
Louisiana,LA,4659690,4648794,4652301,4627971,4593687
Maine,ME,1339057,1344212,1364571,1378931,1390922
Maryland,MD,6035802,6045680,6177935,6179403,6192440
Massachusetts,MA,6882635,6892503,6994598,7000474,7022468
Michigan,MI,9984072,9986857,10072703,10041351,10050877
Minnesota,MN,5606249,5639632,5710735,5718660,5721621
Mississippi,MS,2981020,2976149,2958536,2947209,2941939
Missouri,MO,6121623,6137428,6154744,6171374,6179414
Montana,MT,1060665,1068778,1087230,1106522,1122095
Nebraska,NE,1925614,1934408,1963387,1964537,1972246
Nevada,NV,3027341,3080156,3116967,3148141,3176116
New Hampshire,NH,1353465,1359711,1378756,1387677,1396678
New Jersey,NJ,8886025,8882190,9272794,9270541,9295227
New Mexico,NM,2092741,2096829,2118606,2117333,2113868
New York,NY,19530351,19453561,20105171,19848276,19703747
North Carolina,NC,10381615,10488084,10449652,10564320,10710793
North Dakota,ND,758080,762062,779563,777966,781057
Ohio,OH,11676341,11689100,11798905,11767344,11777874
Oklahoma,OK,3940235,3956971,3965415,3992238,4026229
Oregon,OR,4181886,4217737,4243779,4254280,4247372
Pennsylvania,PA,12800922,12801989,12996143,13015571,12984990
Rhode Island,RI,1058287,1059361,1096530,1097246,1099498
South Carolina,SC,5084156,5148714,5132249,5194274,5287935
South Dakota,SD,878698,884659,887948,896492,909723
Tennessee,TN,6771631,6829174,6927904,6965740,7062217
Texas,TX,28628666,28995881,29239570,29570351,30113488
Utah,UT,3153550,3205958,3284077,3339738,3391011
Vermont,VT,624358,623989,642977,647210,648142
Virginia,VA,8501286,8535519,8637615,8658910,8683414
Washington,WA,7523869,7614893,7727209,7743760,7794123
West Virginia,WV,1804291,1792147,1791646,1785618,1774122
Wisconsin,WI,5807406,5822434,5897375,5881608,5903975
Wyoming,WY,577601,578759,577681,579636,581978
